first_name,last_name,full_name,position,committee,date,work_place,role,raw_line 
המוסד,לביטוח לאומי,המוסד לביטוח לאומי,שלומי מור,28,2016-12-06,,,המוסד לביטוח לאומי - שלומי מור
מנהלת,"אגף זקנה ושארים, המוסד לביטוח לאומי","מנהלת אגף זקנה ושארים, המוסד לביטוח לאומי",לבנה עזרא,28,2016-12-06,,,"מנהלת אגף זקנה ושארים, המוסד לביטוח לאומי  - לבנה עזרא"
מנהלת,"אגף א, המוסד לביטוח לאומי","מנהלת אגף א, המוסד לביטוח לאומי",מרים שמלצר,28,2016-12-06,,,"מנהלת אגף א, המוסד לביטוח לאומי  - מרים שמלצר"
מנהלת,"תחום בכירה, המוסד לביטוח לאומי","מנהלת תחום בכירה, המוסד לביטוח לאומי",גבריאלה הילברון,28,2016-12-06,,,"מנהלת תחום בכירה, המוסד לביטוח לאומי  - גבריאלה הילברון"
מנהלת,"אגף זקנה ושארים, המוסד לביטוח לאומי","מנהלת אגף זקנה ושארים, המוסד לביטוח לאומי",לבנה עזרא,28,2016-12-06,,,"מנהלת אגף זקנה ושארים, המוסד לביטוח לאומי  - לבנה עזרא"
מרכזת,"בכירה פניות ציבור, המשרד לשוויון חברתי","מרכזת בכירה פניות ציבור, המשרד לשוויון חברתי",עירית גוטמן,28,2016-12-06,,,"מרכזת בכירה פניות ציבור, המשרד לשוויון חברתי  - עירית גוטמן"
עמותה,הפרלמנטרית לניצולי השואה,עמותה הפרלמנטרית לניצולי השואה,ארנה קרצר ויגדה,28,2016-12-06,,,עמותה הפרלמנטרית לניצולי השואה - ארנה קרצר ויגדה
"יו""ר","""יש"" ילדי השואה","יו""ר ""יש"" ילדי השואה",מרים גרייבר,28,2016-12-06,,,"יו""ר ""יש"" ילדי השואה - מרים גרייבר"
"חבר,",הפורום למאבק בעוני,"חבר, הפורום למאבק בעוני",אורי אלדר,28,2016-12-06,,,"חבר, הפורום למאבק בעוני  - אורי אלדר"
שירה,אוחיון,שירה אוחיון,"עו""ד לשכה משפטית, משרד האוצר",28,2016-12-06,משרד האוצר,"עו""ד לשכה משפטית","עו""ד לשכה משפטית, משרד האוצר  - שירה אוחיון"
אייל,מדן,אייל מדן,"רפרנט באגף תקציבים, משרד האוצר",28,2016-12-06,משרד האוצר,רפרנט באגף תקציבים,"רפרנט באגף תקציבים, משרד האוצר  - אייל מדן"
עמיחי,פישמן,עמיחי פישמן,"עו""ד בלשכה משפטית, משרד האוצר",28,2016-12-06,משרד האוצר,"עו""ד בלשכה משפטית","עו""ד בלשכה משפטית, משרד האוצר  - עמיחי פישמן"
עפרה,רוס,עפרה רוס,"חשבת הלשכה לשיקום, משרד האוצר",28,2016-12-06,משרד האוצר,חשבת הלשכה לשיקום,"חשבת הלשכה לשיקום, משרד האוצר  - עפרה רוס"
מיכל,אלבז,מיכל אלבז,"ייעוץ וחקיקה, משרד המשפטים",28,2016-12-06,משרד המשפטים,ייעוץ וחקיקה,"ייעוץ וחקיקה, משרד המשפטים  - מיכל אלבז"
גבריאלה,הילברון,גבריאלה הילברון,"מנהלת תחום בכירה, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,מנהלת תחום בכירה,"מנהלת תחום בכירה, המוסד לביטוח לאומי  - גבריאלה הילברון"
מרים,שמלצר,מרים שמלצר,"מנהלת אגף א, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,מנהלת אגף א,"מנהלת אגף א, המוסד לביטוח לאומי  - מרים שמלצר"
יוסף,פולסקי,יוסף פולסקי,"לשכה משפטית, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,לשכה משפטית,"לשכה משפטית, המוסד לביטוח לאומי  - יוסף פולסקי"
כרמית,נאור,כרמית נאור,"לשכה משפטית, ביטוח לאומי",28,2016-12-06,ביטוח לאומי,לשכה משפטית,"לשכה משפטית, ביטוח לאומי  - כרמית נאור"
גלעד,מרקמן,גלעד מרקמן,"יו""ר ועדת ביטוח לאומי בלשכת עורכי הדין",28,2016-12-06,,,"יו""ר ועדת ביטוח לאומי בלשכת עורכי הדין  - גלעד מרקמן"
נירית,איבי,נירית איבי,"יועצת למנכ''ל, משרד האוצר",28,2016-12-06,משרד האוצר,יועצת למנכ''ל,"נירית איבי - יועצת למנכ''ל, משרד האוצר"
אייל,מדן,אייל מדן,"רפרנט באגף תקציבים, משרד האוצר",28,2016-12-06,משרד האוצר,רפרנט באגף תקציבים,"אייל מדן - רפרנט באגף תקציבים, משרד האוצר"
שירה,אוחיון,שירה אוחיון,"לשכה משפטית, משרד האוצר",28,2016-12-06,משרד האוצר,לשכה משפטית,"שירה אוחיון - לשכה משפטית, משרד האוצר"
יוגב,גרדוס,יוגב גרדוס,"רכז רווחה וביטוח לאומי באגף התקציבים, משרד האוצר",28,2016-12-06,משרד האוצר,רכז רווחה וביטוח לאומי באגף התקציבים,"יוגב גרדוס - רכז רווחה וביטוח לאומי באגף התקציבים, משרד האוצר"
מרים,שמלצר,מרים שמלצר,"מנהלת אגף א, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,מנהלת אגף א,"מרים שמלצר - מנהלת אגף א, המוסד לביטוח לאומי"
גבריאלה,הילברון,גבריאלה הילברון,"מנהלת תחום בכירה, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,מנהלת תחום בכירה,"גבריאלה הילברון - מנהלת תחום בכירה, המוסד לביטוח לאומי"
יוסף,פולסקי,יוסף פולסקי,"לשכה משפטית, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,לשכה משפטית,"יוסף פולסקי - לשכה משפטית, המוסד לביטוח לאומי"
לבנה,עזרא,לבנה עזרא,"מנהלת אגף זקנה ושארים, המוסד לביטוח לאומי",28,2016-12-06,המוסד לביטוח לאומי,מנהלת אגף זקנה ושארים,"לבנה עזרא - מנהלת אגף זקנה ושארים, המוסד לביטוח לאומי"
ענת,קאופמן,ענת קאופמן,"יו""ר ועדת ביטוח לאומי לשכת עורכי הדין, לשכת עורכי הדין",28,2016-12-06,לשכת עורכי הדין,"יו""ר ועדת ביטוח לאומי לשכת עורכי הדין","ענת קאופמן - יו""ר ועדת ביטוח לאומי לשכת עורכי הדין, לשכת עורכי הדין"
רוני,אהרון כהן,רוני אהרון כהן,"יו""ר מרחב ים, הסתדרות הגמלאים",28,2016-12-06,הסתדרות הגמלאים,"יו""ר מרחב ים","רוני אהרון כהן - יו""ר מרחב ים, הסתדרות הגמלאים"
רומן,סוקולוב,רומן סוקולוב,שדלן/ית,28,2016-12-06,,,רומן סוקולוב - שדלן/ית
מיכל,גולדברג,מיכל גולדברג,"עורכת דין, בריאות הסביבה, משרד הבריאות",28,2016-12-19,"בריאות הסביבה, משרד הבריאות",עורכת דין,"מיכל גולדברג - עורכת דין, בריאות הסביבה, משרד הבריאות"
שבי,גטניו,שבי גטניו,"מייסד, עמותה לדמוקרטיה מתקדמת",28,2016-12-19,עמותה לדמוקרטיה מתקדמת,מייסד,"שבי גטניו - מייסד, עמותה לדמוקרטיה מתקדמת"
יונתן,קגן,יונתן קגן,"חבר ועד, האגודה למלחמה בסרטן",28,2016-12-19,האגודה למלחמה בסרטן,חבר ועד,"יונתן קגן - חבר ועד, האגודה למלחמה בסרטן"
בני,שדה,בני שדה,"פעיל, המשמר החברתי",28,2016-12-19,המשמר החברתי,פעיל,"בני שדה - פעיל, המשמר החברתי"
ארז,גילהר,ארז גילהר,"שדלן/ית (פוליסי), מנכ""ל משותף",28,2016-12-19,"מנכ""ל משותף",שדלן/ית (פוליסי),"ארז גילהר - שדלן/ית (פוליסי), מנכ""ל משותף"
יעל,שילוני,יעל שילוני,"שדלן/ית (גלעד יחסי ממשל ולובינג), אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום",28,2016-12-19,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום",שדלן/ית (גלעד יחסי ממשל ולובינג),"יעל שילוני - שדלן/ית (גלעד יחסי ממשל ולובינג), אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום"
לוטם,בכר,לוטם בכר,"שדלן/ית (גלעד יחסי ממשל ולובינג), אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום",28,2016-12-19,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום",שדלן/ית (גלעד יחסי ממשל ולובינג),"לוטם בכר - שדלן/ית (גלעד יחסי ממשל ולובינג), אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום"
ליטל,סבר,ליטל סבר,שדלן/ית (גלעד יחסי ממשל ולובינג),28,2016-12-19,,,ליטל סבר - שדלן/ית (גלעד יחסי ממשל ולובינג)
צור,גינת,צור גינת,"מנהל תחום בכיר קופות גמל, רשות המסים, משרד האוצר",28,2016-12-07,"רשות המסים, משרד האוצר",מנהל תחום בכיר קופות גמל,"צור גינת - מנהל תחום בכיר קופות גמל, רשות המסים, משרד האוצר"
רונית,כהן,רונית כהן,"מנהל תחום רכז בכיר, רשות המסים, משרד האוצר",28,2016-12-07,"רשות המסים, משרד האוצר",מנהל תחום רכז בכיר,"רונית כהן - מנהל תחום רכז בכיר, רשות המסים, משרד האוצר"
הראל,שרעבי,הראל שרעבי,"סגן בכיר לממונה על שוק ההון ביטוח וחיסכון, משרד האוצר",28,2016-12-07,משרד האוצר,סגן בכיר לממונה על שוק ההון ביטוח וחיסכון,"הראל שרעבי - סגן בכיר לממונה על שוק ההון ביטוח וחיסכון, משרד האוצר"
שי,סומך,שי סומך,"מחלקת ייעוץ וחקיקה, משרד המשפטים",28,2016-12-07,משרד המשפטים,מחלקת ייעוץ וחקיקה,"שי סומך - מחלקת ייעוץ וחקיקה, משרד המשפטים"
ענת,הר אבן,ענת הר אבן,"יועצת משפטית רשות האכיפה והגבייה, משרד המשפטים",28,2016-12-07,משרד המשפטים,יועצת משפטית רשות האכיפה והגבייה,"ענת הר אבן - יועצת משפטית רשות האכיפה והגבייה, משרד המשפטים"
שנטל,שרה וסרשטיין,שנטל שרה וסרשטיין,"מנהלת תחום בכירה, המוסד לביטוח לאומי",28,2016-12-07,המוסד לביטוח לאומי,מנהלת תחום בכירה,"שנטל שרה וסרשטיין - מנהלת תחום בכירה, המוסד לביטוח לאומי"
אביבה,גייבל,אביבה גייבל,"מנהלת אגף מחקרי גבייה, ביטוח וכספים, המוסד לביטוח לאומי",28,2016-12-07,"ביטוח וכספים, המוסד לביטוח לאומי",מנהלת אגף מחקרי גבייה,"אביבה גייבל - מנהלת אגף מחקרי גבייה, ביטוח וכספים, המוסד לביטוח לאומי"
שלומי,מור,שלומי מור,המוסד לביטוח לאומי,28,2016-12-07,,,שלומי מור - המוסד לביטוח לאומי
רועי,כהן,רועי כהן,"עו""ד ונשיא להב, לשכת ארגוני העצמאים והעסקים בישראל",28,2016-12-07,לשכת ארגוני העצמאים והעסקים בישראל,"עו""ד ונשיא להב","רועי כהן - עו""ד ונשיא להב, לשכת ארגוני העצמאים והעסקים בישראל"
ירון,גינדי,ירון גינדי,נשיא לשכת יועצי המס בישראל,28,2016-12-07,,,ירון גינדי - נשיא לשכת יועצי המס בישראל
חיזקיה,ישראל,חיזקיה ישראל,"מנהל מחלקה, התאחדות התעשיינים",28,2016-12-07,התאחדות התעשיינים,מנהל מחלקה,"חיזקיה ישראל - מנהל מחלקה, התאחדות התעשיינים"
ולדימיר,בליאק,ולדימיר בליאק,"רו""ח, עצמאים עושים שינוי",28,2016-12-07,עצמאים עושים שינוי,"רו""ח","ולדימיר בליאק - רו""ח, עצמאים עושים שינוי"
בוריס,שינדלר,בוריס שינדלר,"ועד מנהל, עצמאים עושים שינוי",28,2016-12-07,עצמאים עושים שינוי,ועד מנהל,"בוריס שינדלר - ועד מנהל, עצמאים עושים שינוי"
אור,סלע,אור סלע,"פעיל, המשמר החברתי",28,2016-12-07,המשמר החברתי,פעיל,"אור סלע - פעיל, המשמר החברתי"
שרה,קרמר,שרה קרמר,"פעילה, המשמר החברתי",28,2016-12-07,המשמר החברתי,פעילה,"שרה קרמר - פעילה, המשמר החברתי"
נילי,דיקמן,נילי דיקמן,"לשכה משפטית, משרד הבריאות",28,2016-12-11,משרד הבריאות,לשכה משפטית,"נילי דיקמן - לשכה משפטית, משרד הבריאות"
רינת,בכר,רינת בכר,"אחראית קוסמטיקה, אגף רוקחות, משרד הבריאות",28,2016-12-11,"אגף רוקחות, משרד הבריאות",אחראית קוסמטיקה,"רינת בכר - אחראית קוסמטיקה, אגף רוקחות, משרד הבריאות"
איל,שורצברג,איל שורצברג,"מנהל אגף רוקחות, משרד הבריאות",28,2016-12-11,משרד הבריאות,מנהל אגף רוקחות,"איל שורצברג - מנהל אגף רוקחות, משרד הבריאות"
אנואר,חילף,אנואר חילף,"הממונה על חוקיות היבוא, משרד הכלכלה",28,2016-12-11,משרד הכלכלה,הממונה על חוקיות היבוא,"אנואר חילף - הממונה על חוקיות היבוא, משרד הכלכלה"
אמיר,רשף,אמיר רשף,"רכז תעשייה ומסחר, משרד האוצר",28,2016-12-11,משרד האוצר,רכז תעשייה ומסחר,"אמיר רשף - רכז תעשייה ומסחר, משרד האוצר"
עידו,סופר,עידו סופר,"רפרנט תעשייה ומסחר באגף תקציבים, משרד האוצר",28,2016-12-11,משרד האוצר,רפרנט תעשייה ומסחר באגף תקציבים,"עידו סופר - רפרנט תעשייה ומסחר באגף תקציבים, משרד האוצר"
שירה,דימניק,שירה דימניק,"מנהל ענף תקציבים, רפרנטית, משרד האוצר",28,2016-12-11,"רפרנטית, משרד האוצר",מנהל ענף תקציבים,"שירה דימניק - מנהל ענף תקציבים, רפרנטית, משרד האוצר"
הלל,וואזנר,הלל וואזנר,"הלשכה המשפטית, משרד האוצר",28,2016-12-11,משרד האוצר,הלשכה המשפטית,"הלל וואזנר - הלשכה המשפטית, משרד האוצר"
ינון,גוטגליק,ינון גוטגליק,"עו""ד, משרד האוצר",28,2016-12-11,משרד האוצר,"עו""ד","ינון גוטגליק - עו""ד, משרד האוצר"
שי,סומך,שי סומך,"מחלקת ייעוץ וחקיקה, משרד המשפטים",28,2016-12-11,משרד המשפטים,מחלקת ייעוץ וחקיקה,"שי סומך - מחלקת ייעוץ וחקיקה, משרד המשפטים"
דוד,פפו,דוד פפו,"יו""ר הסתדרות הרוקחים בישראל",28,2016-12-11,,,"דוד פפו - יו""ר הסתדרות הרוקחים בישראל"
הדר,מרלי,הדר מרלי,"מנהלת תחום, התאחדות התעשיינים",28,2016-12-11,התאחדות התעשיינים,מנהלת תחום,"הדר מרלי - מנהלת תחום, התאחדות התעשיינים"
עדי,שאולי,עדי שאולי,"מנהל איגוד, התאחדות התעשיינים",28,2016-12-11,התאחדות התעשיינים,מנהל איגוד,"עדי שאולי - מנהל איגוד, התאחדות התעשיינים"
נורית,הראל,נורית הראל,"מנהלת תחום פישר תעשיות פמצבטיות בע""מ, התאחדות התעשיינים",28,2016-12-11,התאחדות התעשיינים,"מנהלת תחום פישר תעשיות פמצבטיות בע""מ","נורית הראל - מנהלת תחום פישר תעשיות פמצבטיות בע""מ, התאחדות התעשיינים"
חביב,פאר,חביב פאר,התאחדות התעשיינים,28,2016-12-11,,,חביב פאר - התאחדות התעשיינים
רוית,דינמז,רוית דינמז,"עו""ד, התאחדות התעשיינים",28,2016-12-11,התאחדות התעשיינים,"עו""ד","רוית דינמז - עו""ד, התאחדות התעשיינים"
אורלי,קראסו,אורלי קראסו,"רוקחת רישום, טבע תעשיות פרמצבטיות",28,2016-12-11,טבע תעשיות פרמצבטיות,רוקחת רישום,"אורלי קראסו - רוקחת רישום, טבע תעשיות פרמצבטיות"
ראובן,בילט,ראובן בילט,"יו""ר חטיבת הקוסמטיקה בלשכת המסחר, איגוד לשכות המסחר",28,2016-12-11,איגוד לשכות המסחר,"יו""ר חטיבת הקוסמטיקה בלשכת המסחר","ראובן בילט - יו""ר חטיבת הקוסמטיקה בלשכת המסחר, איגוד לשכות המסחר"
חנה,לאידרשניידר,חנה לאידרשניידר,"מנהלת תחום, איגוד לשכות המסחר",28,2016-12-11,איגוד לשכות המסחר,מנהלת תחום,"חנה לאידרשניידר - מנהלת תחום, איגוד לשכות המסחר"
שלמה,שניזיק,שלמה שניזיק,"חבר הנהלה חטיבת הקוסמטיקה, איגוד לשכות המסחר",28,2016-12-11,איגוד לשכות המסחר,חבר הנהלה חטיבת הקוסמטיקה,"שלמה שניזיק - חבר הנהלה חטיבת הקוסמטיקה, איגוד לשכות המסחר"
אירית,פינק,אירית פינק,"מנהלת, קופת חולים לאומית",28,2016-12-11,קופת חולים לאומית,מנהלת,"אירית פינק - מנהלת, קופת חולים לאומית"
גלי,עמיר,גלי עמיר,יועצת רגולטורית ורושמת תמרוקים,28,2016-12-11,,,גלי עמיר - יועצת רגולטורית ורושמת תמרוקים
מור,וינטרוב,מור וינטרוב,מנהלת רגולציה,28,2016-12-11,,,מור וינטרוב - מנהלת רגולציה
מיכל,הראל,מיכל הראל,"עוזרת יו""ר",28,2016-12-11,,,"מיכל הראל - עוזרת יו""ר"
יואב,גזית,יואב גזית,בעלים,28,2016-12-11,,,יואב גזית - בעלים
דפנה,פביאן,דפנה פביאן,"שדלן/ית (פוליסי בע""מ), מייצג/ת את איגוד לשכות המסחר – חטיבת התמרוקים, פרוקטר אנד גמבל ישראל",28,2016-12-11,"מייצג/ת את איגוד לשכות המסחר – חטיבת התמרוקים, פרוקטר אנד גמבל ישראל","שדלן/ית (פוליסי בע""מ)","דפנה פביאן - שדלן/ית (פוליסי בע""מ), מייצג/ת את איגוד לשכות המסחר – חטיבת התמרוקים, פרוקטר אנד גמבל ישראל"
רוית,דינמז,רוית דינמז,"שדלן/ית (משרד עו""ד עמית פולק מטלון ושות'), מייצג/ת את התאחדות התעשיינים בישראל, אגף סביבה, בריאות ובטיחות",28,2016-12-11,"מייצג/ת את התאחדות התעשיינים בישראל, אגף סביבה, בריאות ובטיחות","שדלן/ית (משרד עו""ד עמית פולק מטלון ושות')","רוית דינמז - שדלן/ית (משרד עו""ד עמית פולק מטלון ושות'), מייצג/ת את התאחדות התעשיינים בישראל, אגף סביבה, בריאות ובטיחות"
הדס,אגמון,הדס אגמון,"עו""ד, משרד המשפטים",28,2016-12-12,משרד המשפטים,"עו""ד","הדס אגמון - עו""ד, משרד המשפטים"
ישראל,הבר,ישראל הבר,"עו""ד, נציגות שוויון זכויות לאנשים עם מוגבלות, משרד המשפטים",28,2016-12-12,"נציגות שוויון זכויות לאנשים עם מוגבלות, משרד המשפטים","עו""ד","ישראל הבר - עו""ד, נציגות שוויון זכויות לאנשים עם מוגבלות, משרד המשפטים"
אדוארד,וויס,אדוארד וויס,"עו""ד, משרד העבודה, הרווחה והשירותים החברתיים",28,2016-12-12,"משרד העבודה, הרווחה והשירותים החברתיים","עו""ד","אדוארד וויס - עו""ד, משרד העבודה, הרווחה והשירותים החברתיים"
שרית,טילוביץ לוי,שרית טילוביץ לוי,"מפקחת ארצית אגף מש""ה, משרד העבודה, הרווחה והשירותים החברתיים",28,2016-12-12,"משרד העבודה, הרווחה והשירותים החברתיים","מפקחת ארצית אגף מש""ה","שרית טילוביץ לוי - מפקחת ארצית אגף מש""ה, משרד העבודה, הרווחה והשירותים החברתיים"
שמחה,הלוי,שמחה הלוי,"מפקחת ארצית באגף לחינוך מיוחד, משרד החינוך",28,2016-12-12,משרד החינוך,מפקחת ארצית באגף לחינוך מיוחד,"שמחה הלוי - מפקחת ארצית באגף לחינוך מיוחד, משרד החינוך"
חנן,פוטרמן,חנן פוטרמן,"לשכה משפטית, ביטוח לאומי",28,2016-12-12,ביטוח לאומי,לשכה משפטית,"חנן פוטרמן - לשכה משפטית, ביטוח לאומי"
דוד,מרקו,דוד מרקו,"מנכ""ל, אלווין ישראל",28,2016-12-12,אלווין ישראל,"מנכ""ל","דוד מרקו - מנכ""ל, אלווין ישראל"
הרב,הרוואד אלפרט,הרב הרוואד אלפרט,"ראש הארגון צפון אמריקה, אלווין ישראל",28,2016-12-12,אלווין ישראל,ראש הארגון צפון אמריקה,"הרב הרוואד אלפרט - ראש הארגון צפון אמריקה, אלווין ישראל"
יפעת,כהן הראל,יפעת כהן הראל,"עו""ס מחוזית חיפה, משרד הבריאות",28,2016-12-13,משרד הבריאות,"עו""ס מחוזית חיפה","יפעת כהן הראל - עו""ס מחוזית חיפה, משרד הבריאות"
דליה,רוזינק,דליה רוזינק,"מפקחת ארצית חוק סיעוד, משרד העבודה, הרווחה והשירותים החברתיים",28,2016-12-13,"משרד העבודה, הרווחה והשירותים החברתיים",מפקחת ארצית חוק סיעוד,"דליה רוזינק - מפקחת ארצית חוק סיעוד, משרד העבודה, הרווחה והשירותים החברתיים"
שרון,אסיסקוביץ,שרון אסיסקוביץ,"מינהל המחקר והתכנון, המוסד לביטוח לאומי",28,2016-12-13,המוסד לביטוח לאומי,מינהל המחקר והתכנון,"שרון אסיסקוביץ - מינהל המחקר והתכנון, המוסד לביטוח לאומי"
ארנה,זמיר,ארנה זמיר,"מנהלת אגף סיעוד, המוסד לביטוח לאומי",28,2016-12-13,המוסד לביטוח לאומי,מנהלת אגף סיעוד,"ארנה זמיר - מנהלת אגף סיעוד, המוסד לביטוח לאומי"
מיכל,מזוז,מיכל מזוז,"יועצת משפטית, המוסד לביטוח לאומי",28,2016-12-13,המוסד לביטוח לאומי,יועצת משפטית,"מיכל מזוז - יועצת משפטית, המוסד לביטוח לאומי"
פיני,קבלו,פיני קבלו,"סמנכ""ל כנסת ורווחה, המרכז לשלטון מקומי",28,2016-12-13,המרכז לשלטון מקומי,"סמנכ""ל כנסת ורווחה","פיני קבלו - סמנכ""ל כנסת ורווחה, המרכז לשלטון מקומי"
צפרא,דוויק,צפרא דוויק,"יו""ר איגוד העובדים הסוציאליים",28,2016-12-13,,,"צפרא דוויק - יו""ר איגוד העובדים הסוציאליים"
נעה,עמיר,נעה עמיר,"מזכירת חטיבת עובדי השירות הציבורי, איגוד העובדים הסוציאליים",28,2016-12-13,איגוד העובדים הסוציאליים,מזכירת חטיבת עובדי השירות הציבורי,"נעה עמיר - מזכירת חטיבת עובדי השירות הציבורי, איגוד העובדים הסוציאליים"
רוני,אהרון כהן,רוני אהרון כהן,"יו""ר מרחב ירושלים, הסתדרות הגמלאים",28,2016-12-13,הסתדרות הגמלאים,"יו""ר מרחב ירושלים","רוני אהרון כהן - יו""ר מרחב ירושלים, הסתדרות הגמלאים"
תקוה,מריומה,תקוה מריומה,"רכזת מוקד הזכויות בעברית, כן לזקן",28,2016-12-13,כן לזקן,רכזת מוקד הזכויות בעברית,"תקוה מריומה - רכזת מוקד הזכויות בעברית, כן לזקן"
מאיר,שני,מאיר שני,"עו""ד, אגודת בית אברהם",28,2016-12-13,אגודת בית אברהם,"עו""ד","מאיר שני - עו""ד, אגודת בית אברהם"
זכריה,יחיאל רייך,זכריה יחיאל רייך,"שדלן/ית (פרילוג בע""מ), מייצג/ת את עמותת דיירי הדיור המוגן בישראל",28,2016-12-13,מייצג/ת את עמותת דיירי הדיור המוגן בישראל,"שדלן/ית (פרילוג בע""מ)","זכריה יחיאל רייך - שדלן/ית (פרילוג בע""מ), מייצג/ת את עמותת דיירי הדיור המוגן בישראל"
מנחם,צבי כץ,מנחם צבי כץ,שדלן/ית,28,2016-12-13,,,מנחם צבי כץ - שדלן/ית
איריס,פלורנטין,איריס פלורנטין,"סמנכ""לית בכירה, מנהלת האגף לשירותים חברתיים ואישיים, משרד העבודה, הרווחה והשירותים החברתיים",28,2016-12-19,"מנהלת האגף לשירותים חברתיים ואישיים, משרד העבודה, הרווחה והשירותים החברתיים","סמנכ""לית בכירה","איריס פלורנטין - סמנכ""לית בכירה, מנהלת האגף לשירותים חברתיים ואישיים, משרד העבודה, הרווחה והשירותים החברתיים"
חנן,פריצקי,חנן פריצקי,"מנהל אגף תקצוב, משרד העבודה, הרווחה והשירותים החברתיים",28,2016-12-19,"משרד העבודה, הרווחה והשירותים החברתיים",מנהל אגף תקצוב,"חנן פריצקי - מנהל אגף תקצוב, משרד העבודה, הרווחה והשירותים החברתיים"
דליה,לב שדה,דליה לב שדה,"מנהלת השירות לילד ולנוער, משרד הרווחה, העבודה והשירותים החברתיים",28,2016-12-19,"משרד הרווחה, העבודה והשירותים החברתיים",מנהלת השירות לילד ולנוער,"דליה לב שדה - מנהלת השירות לילד ולנוער, משרד הרווחה, העבודה והשירותים החברתיים"
פיני,קבלו,פיני קבלו,"סמנכ""ל המרכז לשלטון מקומי",28,2016-12-19,,,"פיני קבלו - סמנכ""ל המרכז לשלטון מקומי"
לאה,גולן,לאה גולן,"מנכ""לית עמותת אור שלום",28,2016-12-19,,,"לאה גולן - מנכ""לית עמותת אור שלום"
אורן,מודעי,אורן מודעי,"סמנכ""ל כספים, עמותת אור שלום",28,2016-12-19,עמותת אור שלום,"סמנכ""ל כספים","אורן מודעי - סמנכ""ל כספים, עמותת אור שלום"
אורן,פלוטקין,אורן פלוטקין,"יו""ר ועד מנהל, עמותת אור שלום",28,2016-12-19,עמותת אור שלום,"יו""ר ועד מנהל","אורן פלוטקין - יו""ר ועד מנהל, עמותת אור שלום"
אודי,נחתומי,אודי נחתומי,"יו""ר ועדת כספים, עמותת אור שלום",28,2016-12-19,עמותת אור שלום,"יו""ר ועדת כספים","אודי נחתומי - יו""ר ועדת כספים, עמותת אור שלום"
צביקה,הויזליך,צביקה הויזליך,"חבר בוועד המנהל, עמותת אור שלום",28,2016-12-19,עמותת אור שלום,חבר בוועד המנהל,"צביקה הויזליך - חבר בוועד המנהל, עמותת אור שלום"
מאיר,לחיאני,מאיר לחיאני,"אב אומן, משפחת אומנה, עמותת אור שלום",28,2016-12-19,"משפחת אומנה, עמותת אור שלום",אב אומן,"מאיר לחיאני - אב אומן, משפחת אומנה, עמותת אור שלום"
תמר,אלקנה,תמר אלקנה,"אם אומנה, משפחה אומנת, עמותת אור שלום",28,2016-12-19,"משפחה אומנת, עמותת אור שלום",אם אומנה,"תמר אלקנה - אם אומנה, משפחה אומנת, עמותת אור שלום"
דוד,בידני,דוד בידני,בוגר עמותת אור שלום,28,2016-12-19,,,דוד בידני - בוגר עמותת אור שלום
