first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
אלון,בן דוד,אלון בן דוד,"מפקד מחלקה, משמר הכנסת",1,2016-12-12,משמר הכנסת,מפקד מחלקה,"אלון בן דוד - מפקד מחלקה, משמר הכנסת"
מאיה,כהן רחמים,מאיה כהן רחמים,מנהלת המחלקה לקשרי חוץ,1,2016-12-12,,,מאיה כהן רחמים - מנהלת המחלקה לקשרי חוץ
עודד,בן חור,עודד בן חור,המחלקה לקשרי חוץ,1,2016-12-12,,,עודד בן חור - המחלקה לקשרי חוץ
איתן,אלון,איתן אלון,"שדלן/ית (גלעד יחסי ממשל ולובינג), מייצג/ת את עירית ירושלים",1,2016-12-12,מייצג/ת את עירית ירושלים,שדלן/ית (גלעד יחסי ממשל ולובינג),"איתן אלון - שדלן/ית (גלעד יחסי ממשל ולובינג), מייצג/ת את עירית ירושלים"
חיים,אבידור,חיים אבידור,חשב הכנסת,1,2016-12-26,,,חשב הכנסת - חיים אבידור
ערן,סידס,ערן סידס,ראש מטה של יושב ראש הכנסת יולי אדלשטיין,1,2016-12-26,,,ראש מטה של יושב ראש הכנסת יולי אדלשטיין - ערן סידס
רן,שטרית,רן שטרית,משרד התקשורת,1,2016-12-26,,,משרד התקשורת - רן שטרית
"ד""ר",שירלי אברמי,"ד""ר שירלי אברמי","מנהלת מרכז המחקר והמידע, הכנסת",1,2016-12-26,הכנסת,מנהלת מרכז המחקר והמידע,"מנהלת מרכז המחקר והמידע, הכנסת - ד""ר שירלי אברמי"
רוני,בלנק,רוני בלנק,"מרכז המחקר והמידע, הכנסת",1,2016-12-26,הכנסת,מרכז המחקר והמידע,"מרכז המחקר והמידע, הכנסת - רוני בלנק"
עמליה,רבינוביץ,עמליה רבינוביץ,"רכזת תחום שאילתות, הכנסת",1,2016-12-26,הכנסת,רכזת תחום שאילתות,"רכזת תחום שאילתות, הכנסת - עמליה רבינוביץ"
מיה,כהן רחמים,מיה כהן רחמים,"מנהלת קשרי חוץ, הכנסת",1,2016-12-26,הכנסת,מנהלת קשרי חוץ,"מנהלת קשרי חוץ, הכנסת - מיה כהן רחמים"
"עו""ד",חן שמילו,"עו""ד חן שמילו",פורום דמוקרטיה פתוחה (ההסתדרות הרפואית),1,2016-12-26,,,"פורום דמוקרטיה פתוחה (ההסתדרות הרפואית) - עו""ד חן שמילו"
מזכירת,הכנסת ירדנה מלר,מזכירת הכנסת ירדנה מלר,הורוביץ,1,2016-12-22,,,מזכירת הכנסת ירדנה מלר-הורוביץ
מאיר,גופשטיין,מאיר גופשטיין,משרד הפנים,1,2016-12-22,,,מאיר גופשטיין - משרד הפנים
חיים,יפרח,חיים יפרח,משרד הפנים,1,2016-12-22,,,חיים יפרח - משרד הפנים
מזכירת,הכנסת ירדנה מלר,מזכירת הכנסת ירדנה מלר,הורוביץ,1,2016-12-28,,,מזכירת הכנסת ירדנה מלר-הורוביץ
רן,שיטרית,רן שיטרית,"רמ""ט לשכת השר, משרד התקשורת",1,2016-12-28,משרד התקשורת,"רמ""ט לשכת השר","רן שיטרית - רמ""ט לשכת השר, משרד התקשורת"
אתי,בנדלר,אתי בנדלר,משנה ליועץ המשפטי לכנסת (כלכלה ותקשורת) ויועצת משפטית לוועדת הכלכלה,1,2016-12-28,,,אתי בנדלר - משנה ליועץ המשפטי לכנסת (כלכלה ותקשורת) ויועצת משפטית לוועדת הכלכלה
